planta,modelo,motivo,contagem
Arabidopsis thaliana,XGBoost,P_LOOP,304
Solanum melongena,XGBoost,P_LOOP,51
Solanum tuberosum,XGBoost,P_LOOP,408
Physalis peruviana,XGBoost,P_LOOP,137
Arabidopsis thaliana,RF,P_LOOP,165
Solanum melongena,RF,P_LOOP,14
Solanum tuberosum,RF,P_LOOP,270
Physalis peruviana,RF,P_LOOP,46
Arabidopsis thaliana,SVM,P_LOOP,219
Solanum melongena,SVM,P_LOOP,35
Solanum tuberosum,SVM,P_LOOP,332
Physalis peruviana,SVM,P_LOOP,97
Arabidopsis thaliana,XGBoost,KINASE2,34
Solanum melongena,XGBoost,KINASE2,13
Solanum tuberosum,XGBoost,KINASE2,175
Physalis peruviana,XGBoost,KINASE2,31
Arabidopsis thaliana,RF,KINASE2,27
Solanum melongena,RF,KINASE2,10
Solanum tuberosum,RF,KINASE2,143
Physalis peruviana,RF,KINASE2,27
Arabidopsis thaliana,SVM,KINASE2,29
Solanum melongena,SVM,KINASE2,12
Solanum tuberosum,SVM,KINASE2,163
Physalis peruviana,SVM,KINASE2,31
Arabidopsis thaliana,XGBoost,GLPL,416
Solanum melongena,XGBoost,GLPL,132
Solanum tuberosum,XGBoost,GLPL,590
Physalis peruviana,XGBoost,GLPL,262
Arabidopsis thaliana,RF,GLPL,206
Solanum melongena,RF,GLPL,45
Solanum tuberosum,RF,GLPL,361
Physalis peruviana,RF,GLPL,96
Arabidopsis thaliana,SVM,GLPL,274
Solanum melongena,SVM,GLPL,98
Solanum tuberosum,SVM,GLPL,465
Physalis peruviana,SVM,GLPL,197
Arabidopsis thaliana,XGBoost,MHD,419
Solanum melongena,XGBoost,MHD,153
Solanum tuberosum,XGBoost,MHD,640
Physalis peruviana,XGBoost,MHD,310
Arabidopsis thaliana,RF,MHD,178
Solanum melongena,RF,MHD,22
Solanum tuberosum,RF,MHD,365
Physalis peruviana,RF,MHD,97
Arabidopsis thaliana,SVM,MHD,274
Solanum melongena,SVM,MHD,114
Solanum tuberosum,SVM,MHD,522
Physalis peruviana,SVM,MHD,228
Arabidopsis thaliana,XGBoost,RNBS_A,0
Solanum melongena,XGBoost,RNBS_A,0
Solanum tuberosum,XGBoost,RNBS_A,0
Physalis peruviana,XGBoost,RNBS_A,0
Arabidopsis thaliana,RF,RNBS_A,0
Solanum melongena,RF,RNBS_A,0
Solanum tuberosum,RF,RNBS_A,0
Physalis peruviana,RF,RNBS_A,0
Arabidopsis thaliana,SVM,RNBS_A,0
Solanum melongena,SVM,RNBS_A,0
Solanum tuberosum,SVM,RNBS_A,0
Physalis peruviana,SVM,RNBS_A,0
Arabidopsis thaliana,XGBoost,RNBS_B,550
Solanum melongena,XGBoost,RNBS_B,184
Solanum tuberosum,XGBoost,RNBS_B,750
Physalis peruviana,XGBoost,RNBS_B,359
Arabidopsis thaliana,RF,RNBS_B,249
Solanum melongena,RF,RNBS_B,39
Solanum tuberosum,RF,RNBS_B,397
Physalis peruviana,RF,RNBS_B,118
Arabidopsis thaliana,SVM,RNBS_B,378
Solanum melongena,SVM,RNBS_B,160
Solanum tuberosum,SVM,RNBS_B,599
Physalis peruviana,SVM,RNBS_B,290
Arabidopsis thaliana,XGBoost,RNBS_C,638
Solanum melongena,XGBoost,RNBS_C,231
Solanum tuberosum,XGBoost,RNBS_C,881
Physalis peruviana,XGBoost,RNBS_C,459
Arabidopsis thaliana,RF,RNBS_C,258
Solanum melongena,RF,RNBS_C,52
Solanum tuberosum,RF,RNBS_C,474
Physalis peruviana,RF,RNBS_C,141
Arabidopsis thaliana,SVM,RNBS_C,442
Solanum melongena,SVM,RNBS_C,185
Solanum tuberosum,SVM,RNBS_C,700
Physalis peruviana,SVM,RNBS_C,333
Arabidopsis thaliana,XGBoost,RNBS_D,708
Solanum melongena,XGBoost,RNBS_D,289
Solanum tuberosum,XGBoost,RNBS_D,1020
Physalis peruviana,XGBoost,RNBS_D,531
Arabidopsis thaliana,RF,RNBS_D,264
