planta,modelo,motivo,contagem
Arabidopsis thaliana,XGBoost,P_LOOP,290
Solanum melongena,XGBoost,P_LOOP,36
Solanum tuberosum,XGBoost,P_LOOP,398
Physalis peruviana,XGBoost,P_LOOP,120
Arabidopsis thaliana,RF,P_LOOP,163
Solanum melongena,RF,P_LOOP,14
Solanum tuberosum,RF,P_LOOP,270
Physalis peruviana,RF,P_LOOP,48
Arabidopsis thaliana,SVM,P_LOOP,268
Solanum melongena,SVM,P_LOOP,60
Solanum tuberosum,SVM,P_LOOP,376
Physalis peruviana,SVM,P_LOOP,123
Arabidopsis thaliana,XGBoost,KINASE2,34
Solanum melongena,XGBoost,KINASE2,12
Solanum tuberosum,XGBoost,KINASE2,174
Physalis peruviana,XGBoost,KINASE2,31
Arabidopsis thaliana,RF,KINASE2,26
Solanum melongena,RF,KINASE2,10
Solanum tuberosum,RF,KINASE2,143
Physalis peruviana,RF,KINASE2,27
Arabidopsis thaliana,SVM,KINASE2,29
Solanum melongena,SVM,KINASE2,12
Solanum tuberosum,SVM,KINASE2,165
Physalis peruviana,SVM,KINASE2,31
Arabidopsis thaliana,XGBoost,GLPL,399
Solanum melongena,XGBoost,GLPL,123
Solanum tuberosum,XGBoost,GLPL,582
Physalis peruviana,XGBoost,GLPL,246
Arabidopsis thaliana,RF,GLPL,203
Solanum melongena,RF,GLPL,45
Solanum tuberosum,RF,GLPL,364
Physalis peruviana,RF,GLPL,100
Arabidopsis thaliana,SVM,GLPL,330
Solanum melongena,SVM,GLPL,131
Solanum tuberosum,SVM,GLPL,512
Physalis peruviana,SVM,GLPL,223
Arabidopsis thaliana,XGBoost,MHD,418
Solanum melongena,XGBoost,MHD,135
Solanum tuberosum,XGBoost,MHD,623
Physalis peruviana,XGBoost,MHD,279
Arabidopsis thaliana,RF,MHD,179
Solanum melongena,RF,MHD,22
Solanum tuberosum,RF,MHD,369
Physalis peruviana,RF,MHD,98
Arabidopsis thaliana,SVM,MHD,348
Solanum melongena,SVM,MHD,148
Solanum tuberosum,SVM,MHD,592
Physalis peruviana,SVM,MHD,284
Arabidopsis thaliana,XGBoost,RNBS_A,0
Solanum melongena,XGBoost,RNBS_A,0
Solanum tuberosum,XGBoost,RNBS_A,0
Physalis peruviana,XGBoost,RNBS_A,0
Arabidopsis thaliana,RF,RNBS_A,0
Solanum melongena,RF,RNBS_A,0
Solanum tuberosum,RF,RNBS_A,0
Physalis peruviana,RF,RNBS_A,0
Arabidopsis thaliana,SVM,RNBS_A,0
Solanum melongena,SVM,RNBS_A,0
Solanum tuberosum,SVM,RNBS_A,0
Physalis peruviana,SVM,RNBS_A,0
Arabidopsis thaliana,XGBoost,RNBS_B,525
Solanum melongena,XGBoost,RNBS_B,158
Solanum tuberosum,XGBoost,RNBS_B,701
Physalis peruviana,XGBoost,RNBS_B,322
Arabidopsis thaliana,RF,RNBS_B,249
Solanum melongena,RF,RNBS_B,40
Solanum tuberosum,RF,RNBS_B,401
Physalis peruviana,RF,RNBS_B,122
Arabidopsis thaliana,SVM,RNBS_B,472
Solanum melongena,SVM,RNBS_B,200
Solanum tuberosum,SVM,RNBS_B,688
Physalis peruviana,SVM,RNBS_B,338
Arabidopsis thaliana,XGBoost,RNBS_C,608
Solanum melongena,XGBoost,RNBS_C,214
Solanum tuberosum,XGBoost,RNBS_C,859
Physalis peruviana,XGBoost,RNBS_C,407
Arabidopsis thaliana,RF,RNBS_C,256
Solanum melongena,RF,RNBS_C,53
Solanum tuberosum,RF,RNBS_C,480
Physalis peruviana,RF,RNBS_C,146
Arabidopsis thaliana,SVM,RNBS_C,542
Solanum melongena,SVM,RNBS_C,229
Solanum tuberosum,SVM,RNBS_C,785
Physalis peruviana,SVM,RNBS_C,386
Arabidopsis thaliana,XGBoost,RNBS_D,664
Solanum melongena,XGBoost,RNBS_D,256
Solanum tuberosum,XGBoost,RNBS_D,998
Physalis peruviana,XGBoost,RNBS_D,473
Arabidopsis thaliana,RF,RNBS_D,263
Solanum melongena,RF,RNBS_D,66
