planta,modelo,motivo,contagem
Arabidopsis thaliana,XGBoost,P_LOOP,170
Solanum melongena,XGBoost,P_LOOP,15
Solanum tuberosum,XGBoost,P_LOOP,280
Physalis peruviana,XGBoost,P_LOOP,51
Arabidopsis thaliana,RF,P_LOOP,128
Solanum melongena,RF,P_LOOP,10
Solanum tuberosum,RF,P_LOOP,223
Physalis peruviana,RF,P_LOOP,34
Arabidopsis thaliana,SVM,P_LOOP,174
Solanum melongena,SVM,P_LOOP,25
Solanum tuberosum,SVM,P_LOOP,289
Physalis peruviana,SVM,P_LOOP,49
Arabidopsis thaliana,XGBoost,KINASE2,27
Solanum melongena,XGBoost,KINASE2,12
Solanum tuberosum,XGBoost,KINASE2,170
Physalis peruviana,XGBoost,KINASE2,30
Arabidopsis thaliana,RF,KINASE2,26
Solanum melongena,RF,KINASE2,10
Solanum tuberosum,RF,KINASE2,152
Physalis peruviana,RF,KINASE2,25
Arabidopsis thaliana,SVM,KINASE2,27
Solanum melongena,SVM,KINASE2,13
Solanum tuberosum,SVM,KINASE2,168
Physalis peruviana,SVM,KINASE2,30
Arabidopsis thaliana,XGBoost,GLPL,159
Solanum melongena,XGBoost,GLPL,24
Solanum tuberosum,XGBoost,GLPL,286
Physalis peruviana,XGBoost,GLPL,59
Arabidopsis thaliana,RF,GLPL,126
Solanum melongena,RF,GLPL,10
Solanum tuberosum,RF,GLPL,216
Physalis peruviana,RF,GLPL,33
Arabidopsis thaliana,SVM,GLPL,162
Solanum melongena,SVM,GLPL,40
Solanum tuberosum,SVM,GLPL,304
Physalis peruviana,SVM,GLPL,68
Arabidopsis thaliana,XGBoost,MHD,143
Solanum melongena,XGBoost,MHD,16
Solanum tuberosum,XGBoost,MHD,299
Physalis peruviana,XGBoost,MHD,65
Arabidopsis thaliana,RF,MHD,116
Solanum melongena,RF,MHD,7
Solanum tuberosum,RF,MHD,226
Physalis peruviana,RF,MHD,35
Arabidopsis thaliana,SVM,MHD,145
Solanum melongena,SVM,MHD,13
Solanum tuberosum,SVM,MHD,306
Physalis peruviana,SVM,MHD,64
Arabidopsis thaliana,XGBoost,RNBS_A,0
Solanum melongena,XGBoost,RNBS_A,0
Solanum tuberosum,XGBoost,RNBS_A,0
Physalis peruviana,XGBoost,RNBS_A,0
Arabidopsis thaliana,RF,RNBS_A,0
Solanum melongena,RF,RNBS_A,0
Solanum tuberosum,RF,RNBS_A,0
Physalis peruviana,RF,RNBS_A,0
Arabidopsis thaliana,SVM,RNBS_A,0
Solanum melongena,SVM,RNBS_A,0
Solanum tuberosum,SVM,RNBS_A,0
Physalis peruviana,SVM,RNBS_A,0
Arabidopsis thaliana,XGBoost,RNBS_B,166
Solanum melongena,XGBoost,RNBS_B,14
Solanum tuberosum,XGBoost,RNBS_B,255
Physalis peruviana,XGBoost,RNBS_B,60
Arabidopsis thaliana,RF,RNBS_B,122
Solanum melongena,RF,RNBS_B,3
Solanum tuberosum,RF,RNBS_B,193
Physalis peruviana,RF,RNBS_B,33
Arabidopsis thaliana,SVM,RNBS_B,180
Solanum melongena,SVM,RNBS_B,28
Solanum tuberosum,SVM,RNBS_B,268
Physalis peruviana,SVM,RNBS_B,69
Arabidopsis thaliana,XGBoost,RNBS_C,176
Solanum melongena,XGBoost,RNBS_C,24
Solanum tuberosum,XGBoost,RNBS_C,311
Physalis peruviana,XGBoost,RNBS_C,74
Arabidopsis thaliana,RF,RNBS_C,127
Solanum melongena,RF,RNBS_C,6
Solanum tuberosum,RF,RNBS_C,218
Physalis peruviana,RF,RNBS_C,34
Arabidopsis thaliana,SVM,RNBS_C,198
Solanum melongena,SVM,RNBS_C,36
Solanum tuberosum,SVM,RNBS_C,326
Physalis peruviana,SVM,RNBS_C,78
Arabidopsis thaliana,XGBoost,RNBS_D,176
Solanum melongena,XGBoost,RNBS_D,31
Solanum tuberosum,XGBoost,RNBS_D,331
Physalis peruviana,XGBoost,RNBS_D,78
Arabidopsis thaliana,RF,RNBS_D,128
Solanum melongena,RF,RNBS_D,10
Solanum tuberosum,RF,RNBS_D,228
Physalis peruviana,RF,RNBS_D,35
Arabidopsis thaliana,SVM,RNBS_D,195
Solanum melongena,SVM,RNBS_D,41
Solanum tuberosum,SVM,RNBS_D,349
Physalis peruviana,SVM,RNBS_D,82
Arabidopsis thaliana,XGBoost,HRD,6
Solanum melongena,XGBoost,HRD,1
Solanum tuberosum,XGBoost,HRD,3
Physalis peruviana,XGBoost,HRD,1
Arabidopsis thaliana,RF,HRD,6
Solanum melongena,RF,HRD,0
Solanum tuberosum,RF,HRD,2
Physalis peruviana,RF,HRD,0
Arabidopsis thaliana,SVM,HRD,6
Solanum melongena,SVM,HRD,1
Solanum tuberosum,SVM,HRD,3
Physalis peruviana,SVM,HRD,0
Arabidopsis thaliana,XGBoost,DFG,45
Solanum melongena,XGBoost,DFG,1
Solanum tuberosum,XGBoost,DFG,55
Physalis peruviana,XGBoost,DFG,5
Arabidopsis thaliana,RF,DFG,30
Solanum melongena,RF,DFG,0
Solanum tuberosum,RF,DFG,50
Physalis peruviana,RF,DFG,3
Arabidopsis thaliana,SVM,DFG,44
Solanum melongena,SVM,DFG,11
Solanum tuberosum,SVM,DFG,58
Physalis peruviana,SVM,DFG,6
Arabidopsis thaliana,XGBoost,LRR1,39
Solanum melongena,XGBoost,LRR1,4
Solanum tuberosum,XGBoost,LRR1,83
Physalis peruviana,XGBoost,LRR1,7
Arabidopsis thaliana,RF,LRR1,29
Solanum melongena,RF,LRR1,4
Solanum tuberosum,RF,LRR1,71
Physalis peruviana,RF,LRR1,6
Arabidopsis thaliana,SVM,LRR1,44
Solanum melongena,SVM,LRR1,4
Solanum tuberosum,SVM,LRR1,85
Physalis peruviana,SVM,LRR1,7
Arabidopsis thaliana,XGBoost,LRR2,95
Solanum melongena,XGBoost,LRR2,14
Solanum tuberosum,XGBoost,LRR2,147
Physalis peruviana,XGBoost,LRR2,31
Arabidopsis thaliana,RF,LRR2,77
Solanum melongena,RF,LRR2,7
Solanum tuberosum,RF,LRR2,106
Physalis peruviana,RF,LRR2,17
Arabidopsis thaliana,SVM,LRR2,109
Solanum melongena,SVM,LRR2,8
Solanum tuberosum,SVM,LRR2,158
Physalis peruviana,SVM,LRR2,36
