planta,modelo,motivo,contagem
Arabidopsis thaliana,XGBoost,P_LOOP,226
Solanum melongena,XGBoost,P_LOOP,51
Solanum tuberosum,XGBoost,P_LOOP,331
Physalis peruviana,XGBoost,P_LOOP,88
Arabidopsis thaliana,RF,P_LOOP,145
Solanum melongena,RF,P_LOOP,11
Solanum tuberosum,RF,P_LOOP,250
Physalis peruviana,RF,P_LOOP,43
Arabidopsis thaliana,SVM,P_LOOP,182
Solanum melongena,SVM,P_LOOP,31
Solanum tuberosum,SVM,P_LOOP,302
Physalis peruviana,SVM,P_LOOP,61
Arabidopsis thaliana,XGBoost,KINASE2,31
Solanum melongena,XGBoost,KINASE2,15
Solanum tuberosum,XGBoost,KINASE2,181
Physalis peruviana,XGBoost,KINASE2,31
Arabidopsis thaliana,RF,KINASE2,27
Solanum melongena,RF,KINASE2,11
Solanum tuberosum,RF,KINASE2,161
Physalis peruviana,RF,KINASE2,27
Arabidopsis thaliana,SVM,KINASE2,27
Solanum melongena,SVM,KINASE2,13
Solanum tuberosum,SVM,KINASE2,173
Physalis peruviana,SVM,KINASE2,30
Arabidopsis thaliana,XGBoost,GLPL,216
Solanum melongena,XGBoost,GLPL,64
Solanum tuberosum,XGBoost,GLPL,371
Physalis peruviana,XGBoost,GLPL,118
Arabidopsis thaliana,RF,GLPL,142
Solanum melongena,RF,GLPL,11
Solanum tuberosum,RF,GLPL,241
Physalis peruviana,RF,GLPL,40
Arabidopsis thaliana,SVM,GLPL,171
Solanum melongena,SVM,GLPL,40
Solanum tuberosum,SVM,GLPL,323
Physalis peruviana,SVM,GLPL,78
Arabidopsis thaliana,XGBoost,MHD,222
Solanum melongena,XGBoost,MHD,37
Solanum tuberosum,XGBoost,MHD,375
Physalis peruviana,XGBoost,MHD,115
Arabidopsis thaliana,RF,MHD,129
Solanum melongena,RF,MHD,7
Solanum tuberosum,RF,MHD,240
Physalis peruviana,RF,MHD,44
Arabidopsis thaliana,SVM,MHD,163
Solanum melongena,SVM,MHD,16
Solanum tuberosum,SVM,MHD,324
Physalis peruviana,SVM,MHD,77
Arabidopsis thaliana,XGBoost,RNBS_A,0
Solanum melongena,XGBoost,RNBS_A,0
Solanum tuberosum,XGBoost,RNBS_A,0
Physalis peruviana,XGBoost,RNBS_A,0
Arabidopsis thaliana,RF,RNBS_A,0
Solanum melongena,RF,RNBS_A,0
Solanum tuberosum,RF,RNBS_A,0
Physalis peruviana,RF,RNBS_A,0
Arabidopsis thaliana,SVM,RNBS_A,0
Solanum melongena,SVM,RNBS_A,0
Solanum tuberosum,SVM,RNBS_A,0
Physalis peruviana,SVM,RNBS_A,0
Arabidopsis thaliana,XGBoost,RNBS_B,248
Solanum melongena,XGBoost,RNBS_B,59
Solanum tuberosum,XGBoost,RNBS_B,355
Physalis peruviana,XGBoost,RNBS_B,128
Arabidopsis thaliana,RF,RNBS_B,136
Solanum melongena,RF,RNBS_B,3
Solanum tuberosum,RF,RNBS_B,218
Physalis peruviana,RF,RNBS_B,42
Arabidopsis thaliana,SVM,RNBS_B,188
Solanum melongena,SVM,RNBS_B,31
Solanum tuberosum,SVM,RNBS_B,296
Physalis peruviana,SVM,RNBS_B,83
