planta,modelo,motivo,contagem
Arabidopsis thaliana,XGBoost,P_LOOP,231
Solanum melongena,XGBoost,P_LOOP,46
Solanum tuberosum,XGBoost,P_LOOP,335
Physalis peruviana,XGBoost,P_LOOP,94
Arabidopsis thaliana,RF,P_LOOP,143
Solanum melongena,RF,P_LOOP,12
Solanum tuberosum,RF,P_LOOP,251
Physalis peruviana,RF,P_LOOP,44
Arabidopsis thaliana,SVM,P_LOOP,170
Solanum melongena,SVM,P_LOOP,24
Solanum tuberosum,SVM,P_LOOP,310
Physalis peruviana,SVM,P_LOOP,63
Arabidopsis thaliana,XGBoost,KINASE2,31
Solanum melongena,XGBoost,KINASE2,14
Solanum tuberosum,XGBoost,KINASE2,180
Physalis peruviana,XGBoost,KINASE2,31
Arabidopsis thaliana,RF,KINASE2,27
Solanum melongena,RF,KINASE2,12
Solanum tuberosum,RF,KINASE2,163
Physalis peruviana,RF,KINASE2,29
Arabidopsis thaliana,SVM,KINASE2,27
Solanum melongena,SVM,KINASE2,13
Solanum tuberosum,SVM,KINASE2,169
Physalis peruviana,SVM,KINASE2,30
Arabidopsis thaliana,XGBoost,GLPL,222
Solanum melongena,XGBoost,GLPL,60
Solanum tuberosum,XGBoost,GLPL,376
Physalis peruviana,XGBoost,GLPL,114
Arabidopsis thaliana,RF,GLPL,140
Solanum melongena,RF,GLPL,12
Solanum tuberosum,RF,GLPL,243
Physalis peruviana,RF,GLPL,44
Arabidopsis thaliana,SVM,GLPL,167
Solanum melongena,SVM,GLPL,38
Solanum tuberosum,SVM,GLPL,332
Physalis peruviana,SVM,GLPL,94
Arabidopsis thaliana,XGBoost,MHD,219
Solanum melongena,XGBoost,MHD,41
Solanum tuberosum,XGBoost,MHD,375
Physalis peruviana,XGBoost,MHD,115
Arabidopsis thaliana,RF,MHD,126
Solanum melongena,RF,MHD,7
Solanum tuberosum,RF,MHD,243
Physalis peruviana,RF,MHD,49
Arabidopsis thaliana,SVM,MHD,148
Solanum melongena,SVM,MHD,21
Solanum tuberosum,SVM,MHD,341
Physalis peruviana,SVM,MHD,87
Arabidopsis thaliana,XGBoost,RNBS_A,0
Solanum melongena,XGBoost,RNBS_A,0
Solanum tuberosum,XGBoost,RNBS_A,0
Physalis peruviana,XGBoost,RNBS_A,0
Arabidopsis thaliana,RF,RNBS_A,0
Solanum melongena,RF,RNBS_A,0
Solanum tuberosum,RF,RNBS_A,0
Physalis peruviana,RF,RNBS_A,0
Arabidopsis thaliana,SVM,RNBS_A,0
Solanum melongena,SVM,RNBS_A,0
Solanum tuberosum,SVM,RNBS_A,0
Physalis peruviana,SVM,RNBS_A,0
Arabidopsis thaliana,XGBoost,RNBS_B,243
Solanum melongena,XGBoost,RNBS_B,54
Solanum tuberosum,XGBoost,RNBS_B,350
Physalis peruviana,XGBoost,RNBS_B,116
Arabidopsis thaliana,RF,RNBS_B,134
Solanum melongena,RF,RNBS_B,3
Solanum tuberosum,RF,RNBS_B,217
