planta,modelo,motivo,contagem
Arabidopsis thaliana,XGBoost,P_LOOP,34
Solanum melongena,XGBoost,P_LOOP,14
Solanum tuberosum,XGBoost,P_LOOP,10
Physalis peruviana,XGBoost,P_LOOP,103
Arabidopsis thaliana,RF,P_LOOP,24
Solanum melongena,RF,P_LOOP,9
Solanum tuberosum,RF,P_LOOP,2
Physalis peruviana,RF,P_LOOP,46
Arabidopsis thaliana,SVM,P_LOOP,33
Solanum melongena,SVM,P_LOOP,11
Solanum tuberosum,SVM,P_LOOP,9
Physalis peruviana,SVM,P_LOOP,111
Arabidopsis thaliana,XGBoost,KINASE2,31
Solanum melongena,XGBoost,KINASE2,33
Solanum tuberosum,XGBoost,KINASE2,3
Physalis peruviana,XGBoost,KINASE2,132
Arabidopsis thaliana,RF,KINASE2,19
Solanum melongena,RF,KINASE2,15
Solanum tuberosum,RF,KINASE2,2
Physalis peruviana,RF,KINASE2,50
Arabidopsis thaliana,SVM,KINASE2,27
Solanum melongena,SVM,KINASE2,23
Solanum tuberosum,SVM,KINASE2,2
Physalis peruviana,SVM,KINASE2,106
Arabidopsis thaliana,XGBoost,RNBS_A,13
Solanum melongena,XGBoost,RNBS_A,13
Solanum tuberosum,XGBoost,RNBS_A,1
Physalis peruviana,XGBoost,RNBS_A,27
Arabidopsis thaliana,RF,RNBS_A,11
Solanum melongena,RF,RNBS_A,4
Solanum tuberosum,RF,RNBS_A,1
Physalis peruviana,RF,RNBS_A,6
Arabidopsis thaliana,SVM,RNBS_A,13
Solanum melongena,SVM,RNBS_A,11
Solanum tuberosum,SVM,RNBS_A,1
Physalis peruviana,SVM,RNBS_A,26
Arabidopsis thaliana,XGBoost,RNBS_B,5
Solanum melongena,XGBoost,RNBS_B,25
Solanum tuberosum,XGBoost,RNBS_B,5
Physalis peruviana,XGBoost,RNBS_B,46
Arabidopsis thaliana,RF,RNBS_B,1
Solanum melongena,RF,RNBS_B,7
Solanum tuberosum,RF,RNBS_B,0
Physalis peruviana,RF,RNBS_B,15
Arabidopsis thaliana,SVM,RNBS_B,3
Solanum melongena,SVM,RNBS_B,20
Solanum tuberosum,SVM,RNBS_B,5
Physalis peruviana,SVM,RNBS_B,60
Arabidopsis thaliana,XGBoost,RNBS_C,8
Solanum melongena,XGBoost,RNBS_C,18
Solanum tuberosum,XGBoost,RNBS_C,1
Physalis peruviana,XGBoost,RNBS_C,36
Arabidopsis thaliana,RF,RNBS_C,6
Solanum melongena,RF,RNBS_C,0
Solanum tuberosum,RF,RNBS_C,0
Physalis peruviana,RF,RNBS_C,8
Arabidopsis thaliana,SVM,RNBS_C,8
Solanum melongena,SVM,RNBS_C,16
Solanum tuberosum,SVM,RNBS_C,2
Physalis peruviana,SVM,RNBS_C,48
Arabidopsis thaliana,XGBoost,GLPL,15
Solanum melongena,XGBoost,GLPL,16
Solanum tuberosum,XGBoost,GLPL,8
Physalis peruviana,XGBoost,GLPL,60
Arabidopsis thaliana,RF,GLPL,14
Solanum melongena,RF,GLPL,11
Solanum tuberosum,RF,GLPL,1
Physalis peruviana,RF,GLPL,47
Arabidopsis thaliana,SVM,GLPL,16
Solanum melongena,SVM,GLPL,13
Solanum tuberosum,SVM,GLPL,8
Physalis peruviana,SVM,GLPL,62
Arabidopsis thaliana,XGBoost,RNBS_D,18
Solanum melongena,XGBoost,RNBS_D,16
Solanum tuberosum,XGBoost,RNBS_D,9
Physalis peruviana,XGBoost,RNBS_D,71
Arabidopsis thaliana,RF,RNBS_D,9
Solanum melongena,RF,RNBS_D,13
Solanum tuberosum,RF,RNBS_D,2
Physalis peruviana,RF,RNBS_D,35
Arabidopsis thaliana,SVM,RNBS_D,16
Solanum melongena,SVM,RNBS_D,22
Solanum tuberosum,SVM,RNBS_D,10
Physalis peruviana,SVM,RNBS_D,75
Arabidopsis thaliana,XGBoost,MHD,18
Solanum melongena,XGBoost,MHD,2
Solanum tuberosum,XGBoost,MHD,2
Physalis peruviana,XGBoost,MHD,24
Arabidopsis thaliana,RF,MHD,16
Solanum melongena,RF,MHD,2
Solanum tuberosum,RF,MHD,1
Physalis peruviana,RF,MHD,18
Arabidopsis thaliana,SVM,MHD,17
Solanum melongena,SVM,MHD,4
Solanum tuberosum,SVM,MHD,2
Physalis peruviana,SVM,MHD,29
